	case	predicted	real
0	grid9_1bh-3_2019-02-13_16:28_	10.457516339869281% normal	BH
1	grid9_1bh-3_2019-02-13_22:05_	11.11111111111111% normal	BH
2	grid9_1bh-5_2019-02-13_15:31_	90.19607843137256% normal	BH
3	grid9_1bh-5_2019-02-13_21:44_	90.19607843137256% normal	BH
4	grid9_1bh-6_2019-02-13_12:59_	80.3921568627451% normal	BH
5	grid9_1bh-6_2019-02-13_19:15_	62.091503267973856% normal	BH
6	grid9_1bh-7_2019-02-13_15:08_	86.27450980392157% normal	BH
7	grid9_1bh-7_2019-02-13_20:02_	75.81699346405229% normal	BH
8	grid9_1bh-9_2019-02-13_15:57_	95.42483660130719% normal	BH
9	grid9_1bh-9_2019-02-13_19:35_	81.69934640522875% normal	BH
10	grid9_normal_2019-02-13_17:05_	81.69934640522875% normal	normal
11	grid9_normal_2019-02-13_18:51_	98.0392156862745% normal	normal
12	grid9_normal_2019-02-13_22:23_	98.0392156862745% normal	normal
