,case,normal_behaving_nodes_percentage,predicted,real,pings,window
0,grid_normal_2019-02-26_11:48_,40.625,abnormal,normal,100,25
1,grid_normal_2019-02-26_11:10_,68.75,abnormal,normal,100,25
2,grid_normal_2019-02-19_21:23_,43.75,abnormal,normal,100,25
3,grid_normal_2019-02-26_10:29_,40.625,abnormal,normal,100,25
4,grid_normal_2019-02-26_10:53_,75.0,abnormal,normal,100,25
5,grid_1bh-7_2019-02-19_22:13_,67.1875,abnormal,abnormal,100,25
6,grid_1gh30-9_2019-02-20_00:12_,71.875,abnormal,abnormal,100,25
7,grid_1bh-9_2019-02-20_00:30_,81.25,abnormal,abnormal,100,25
8,grid_1gh50-7_2019-02-19_22:53_,48.4375,abnormal,abnormal,100,25
9,grid_1gh70-9_2019-02-19_23:34_,53.125,abnormal,abnormal,100,25
10,grid_1gh50-9_2019-02-19_23:54_,68.75,abnormal,abnormal,100,25
11,grid_1gh30-7_2019-02-19_22:35_,34.375,abnormal,abnormal,100,25
12,grid_1gh70-7_2019-02-19_23:11_,70.3125,abnormal,abnormal,100,25
13,grid_normal_2019-02-26_11:48_,21.875,abnormal,normal,100,50
14,grid_normal_2019-02-26_11:10_,71.875,abnormal,normal,100,50
15,grid_normal_2019-02-19_21:23_,25.0,abnormal,normal,100,50
16,grid_normal_2019-02-26_10:29_,31.25,abnormal,normal,100,50
17,grid_normal_2019-02-26_10:53_,71.875,abnormal,normal,100,50
18,grid_1bh-7_2019-02-19_22:13_,65.625,abnormal,abnormal,100,50
19,grid_1gh30-9_2019-02-20_00:12_,68.75,abnormal,abnormal,100,50
20,grid_1bh-9_2019-02-20_00:30_,84.375,abnormal,abnormal,100,50
21,grid_1gh50-7_2019-02-19_22:53_,37.5,abnormal,abnormal,100,50
22,grid_1gh70-9_2019-02-19_23:34_,37.5,abnormal,abnormal,100,50
23,grid_1gh50-9_2019-02-19_23:54_,65.625,abnormal,abnormal,100,50
24,grid_1gh30-7_2019-02-19_22:35_,21.875,abnormal,abnormal,100,50
25,grid_1gh70-7_2019-02-19_23:11_,62.5,abnormal,abnormal,100,50
26,grid_normal_2019-02-26_11:48_,18.75,abnormal,normal,100,100
27,grid_normal_2019-02-26_11:10_,68.75,abnormal,normal,100,100
28,grid_normal_2019-02-19_21:23_,31.25,abnormal,normal,100,100
29,grid_normal_2019-02-26_10:29_,18.75,abnormal,normal,100,100
30,grid_normal_2019-02-26_10:53_,81.25,abnormal,normal,100,100
31,grid_1bh-7_2019-02-19_22:13_,87.5,normal,abnormal,100,100
32,grid_1gh30-9_2019-02-20_00:12_,87.5,normal,abnormal,100,100
33,grid_1bh-9_2019-02-20_00:30_,87.5,normal,abnormal,100,100
34,grid_1gh50-7_2019-02-19_22:53_,43.75,abnormal,abnormal,100,100
35,grid_1gh70-9_2019-02-19_23:34_,37.5,abnormal,abnormal,100,100
36,grid_1gh50-9_2019-02-19_23:54_,81.25,abnormal,abnormal,100,100
37,grid_1gh30-7_2019-02-19_22:35_,25.0,abnormal,abnormal,100,100
38,grid_1gh70-7_2019-02-19_23:11_,75.0,abnormal,abnormal,100,100
