label,type,type_corrected,type_corrected_2,packet loss,node,count,std,mean,var,hop,outliers
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,2,aaaa::212:7403:3:303,98,76.05565228,120.8887755,5784.462244,1,4
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,3,aaaa::212:7402:2:202,97,102.0977565,152.8463918,10423.95189,2,3
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,4,aaaa::212:7405:5:505,96,109.6936084,186.6666667,12032.68772,2,6
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,4,aaaa::212:740e:e:e0e,96,104.7791155,383.3229167,10978.66305,5,4
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,4,aaaa::212:7407:7:707,96,119.1651879,182.0729167,14200.342,2,3
grid_1gh50-9_2019-02-19_23:54_,BH,normal,normal,5,aaaa::212:740b:b:b0b,95,404.6223683,373.6842105,163719.2609,3,7
grid_1gh50-9_2019-02-19_23:54_,BH,normal,normal,5,aaaa::212:7404:4:404,95,81.87068502,98.68631579,6702.809066,1,4
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,5,aaaa::212:740e:e:e0e,95,142.484334,399.6421053,20301.78544,5,6
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,6,aaaa::212:740a:a:a0a,94,84.21884656,278.1170213,7092.814116,4,8
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,6,aaaa::212:7403:3:303,94,30.98190749,75.20319149,959.8785919,1,3
grid_1bh-7_2019-02-19_22:13_,normal,normal,normal,7,aaaa::212:740e:e:e0e,93,253.9215146,561.4086022,64476.13558,5,5
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,7,aaaa::212:7404:4:404,93,83.04367269,93.59247312,6896.251573,1,4
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,8,aaaa::212:740f:f:f0f,92,151.9781285,323.0108696,23097.35153,4,6
grid_1gh50-9_2019-02-19_23:54_,BH,normal,normal,8,aaaa::212:740e:e:e0e,92,216.0088642,418.1956522,46659.82943,5,4
grid_normal_2019-02-26_10:53_,normal,normal,normal,8,aaaa::212:7403:3:303,92,124.7764051,143.0804348,15569.15126,1,2
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,9,aaaa::212:7406:6:606,91,146.1388429,325.1648352,21356.56142,3,5
grid_1gh50-9_2019-02-19_23:54_,BH,normal,normal,9,aaaa::212:7407:7:707,91,248.2625506,304.9230769,61634.29402,2,5
grid_1bh-7_2019-02-19_22:13_,BH,normal,normal,10,aaaa::212:740a:a:a0a,90,166.3555452,405.9666667,27674.16742,4,4
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,11,aaaa::212:740f:f:f0f,89,170.8553386,388.4606742,29191.54673,4,3
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,11,aaaa::212:7407:7:707,89,128.0426315,245.247191,16394.91547,2,4
