,label,type,count,std,mean,var,hop,packet loss,outliers,node,predicted,predicted number,correction number
0,grid9_1bh-6_2019-02-13_19:15_,BH,161,58.33275251115749,232.9503105590062,3402.7100155279504,4,19.5,6,aaaa::212:7408:8:808,normal,1,0
1,grid9_1bh-6_2019-02-13_19:15_,BH,194,42.7524401599405,97.80051546391753,1827.7711396292934,2,3.0,7,aaaa::212:7404:4:404,normal,1,0
2,grid9_1bh-6_2019-02-13_19:15_,BH,175,49.12162872440803,82.71371428571427,2412.9344085385883,1,12.5,11,aaaa::212:7403:3:303,normal,1,0
3,grid9_1bh-6_2019-02-13_19:15_,BH,1,0.0,1.0,0.0,4,99.5,0,aaaa::212:740a:a:a0a,BH,0,0
4,grid9_1bh-6_2019-02-13_19:15_,BH,1,0.0,1.0,0.0,3,99.5,0,aaaa::212:7407:7:707,BH,0,0
5,grid9_1bh-6_2019-02-13_19:15_,BH,196,42.57007159132368,104.36530612244897,1812.2109952904236,2,2.0,9,aaaa::212:7402:2:202,normal,1,0
6,grid9_1bh-6_2019-02-13_19:15_,BH,196,54.619445524544524,138.34591836734694,2983.283829408687,2,2.0,7,aaaa::212:7406:6:606,normal,1,0
7,grid9_1bh-6_2019-02-13_19:15_,BH,197,51.88802551212244,160.89847715736042,2692.367191546669,3,1.5,9,aaaa::212:7405:5:505,normal,1,0
8,grid9_1bh-6_2019-02-13_19:15_,BH,1,0.0,1.0,0.0,3,99.5,0,aaaa::212:7409:9:909,BH,0,0
9,grid9_1bh-6_2019-02-13_12:59_,BH,166,51.17388704431719,90.77289156626506,2618.7667152245344,1,17.0,8,aaaa::212:7403:3:303,normal,1,0
10,grid9_1bh-6_2019-02-13_12:59_,BH,183,88.66228262511316,172.70491803278688,7861.000360295443,3,8.5,9,aaaa::212:7405:5:505,normal,1,0
11,grid9_1bh-6_2019-02-13_12:59_,BH,197,30.16249874719271,88.52842639593908,909.7763306744018,2,1.5,7,aaaa::212:7404:4:404,normal,1,0
12,grid9_1bh-6_2019-02-13_12:59_,BH,179,98.11576949944396,264.2067039106145,9626.704224468018,4,10.5,7,aaaa::212:740a:a:a0a,normal,1,0
13,grid9_1bh-6_2019-02-13_12:59_,BH,158,114.23568467880479,167.66265822784808,13049.791654035316,2,21.0,7,aaaa::212:7402:2:202,normal,1,0
14,grid9_1bh-6_2019-02-13_12:59_,BH,168,76.27178373617022,165.00595238095238,5817.38499429712,3,16.0,12,aaaa::212:7407:7:707,normal,1,0
15,grid9_1bh-6_2019-02-13_12:59_,BH,1,0.0,1.0,0.0,3,99.5,0,aaaa::212:7409:9:909,BH,0,0
16,grid9_1bh-6_2019-02-13_12:59_,BH,166,101.47152592329485,283.0903614457831,10296.4705732019,4,17.0,10,aaaa::212:7408:8:808,normal,1,0
17,grid9_1bh-6_2019-02-13_12:59_,BH,191,62.44879951196006,137.74240837696334,3899.852560484983,2,4.5,8,aaaa::212:7406:6:606,normal,1,0
18,grid9_normal_2019-02-13_18:51_,normal,198,93.77737715697248,69.30555555555557,8794.196466441063,1,1.0,5,aaaa::212:7403:3:303,normal,1,1
19,grid9_normal_2019-02-13_18:51_,normal,194,126.53185260573537,139.3041237113402,16010.309723839538,2,3.0,5,aaaa::212:7404:4:404,normal,1,1
20,grid9_normal_2019-02-13_18:51_,normal,190,184.66052010617042,285.0157894736842,34099.50768588137,4,5.0,9,aaaa::212:740a:a:a0a,normal,1,1
21,grid9_normal_2019-02-13_18:51_,normal,180,191.3508615177895,238.25555555555556,36615.15220360025,3,10.0,10,aaaa::212:7407:7:707,normal,1,1
22,grid9_normal_2019-02-13_18:51_,normal,191,168.41556958386738,287.3089005235602,28363.80407825848,4,4.5,8,aaaa::212:7408:8:808,normal,1,1
23,grid9_normal_2019-02-13_18:51_,normal,194,79.93507749895642,150.91494845360825,6389.616614764168,2,3.0,10,aaaa::212:7406:6:606,normal,1,1
24,grid9_normal_2019-02-13_18:51_,normal,188,172.7108683097654,245.06382978723406,29829.044032313122,3,6.0,11,aaaa::212:7405:5:505,normal,1,1
25,grid9_normal_2019-02-13_18:51_,normal,186,101.72014334888522,115.7978494623656,10346.987562917757,2,7.000000000000001,8,aaaa::212:7402:2:202,normal,1,1
26,grid9_normal_2019-02-13_18:51_,normal,190,142.59901033994024,209.69473684210527,20334.477749930382,3,5.0,8,aaaa::212:7409:9:909,normal,1,1
27,grid9_normal_2019-02-13_22:23_,normal,195,65.24734537316272,116.93794871794873,4257.216078244778,2,2.5,11,aaaa::212:7404:4:404,normal,1,1
28,grid9_normal_2019-02-13_22:23_,normal,182,90.3052427180402,124.00659340659341,8155.036862364154,2,9.0,11,aaaa::212:7402:2:202,normal,1,1
29,grid9_normal_2019-02-13_22:23_,normal,182,70.17033849561996,158.30769230769232,4923.876404589884,3,9.0,10,aaaa::212:7407:7:707,normal,1,1
30,grid9_normal_2019-02-13_22:23_,normal,189,73.97134840602182,217.12698412698413,5471.760385005066,4,5.5,8,aaaa::212:7408:8:808,normal,1,1
31,grid9_normal_2019-02-13_22:23_,normal,195,91.02829093163243,149.76358974358976,8286.149749933915,3,2.5,12,aaaa::212:7405:5:505,normal,1,1
32,grid9_normal_2019-02-13_22:23_,normal,192,33.925668526171215,54.046875,1150.950984947644,1,4.0,7,aaaa::212:7403:3:303,normal,1,1
33,grid9_normal_2019-02-13_22:23_,normal,198,22.892828901997518,91.53030303030303,524.0816151361329,2,1.0,9,aaaa::212:7406:6:606,normal,1,1
