,directory,case,case_accuracy,case_accuracy2
0,traces/1bh-6,grid9_1bh-6_2019-02-13_19:15_,BH,BH
1,traces/1bh-6,grid9_1bh-6_2019-02-13_12:59_,BH,BH
2,traces/normal,grid9_normal_2019-02-13_18:51_,normal,normal
3,traces/normal,grid9_normal_2019-02-13_22:23_,normal,normal
4,traces/normal,grid9_normal_2019-02-13_17:05_,normal,normal
5,traces/1bh-7,grid9_1bh-7_2019-02-13_20:02_,BH,BH
6,traces/1bh-7,grid9_1bh-7_2019-02-13_15:08_,BH,BH
7,traces/rnd-1,rnd_1gh-2_2019-02-16_08:37_,BH,GH
8,traces/rnd-1,rnd_1bh-2_2019-02-14_15:38_,BH,BH
9,traces/rnd-1,rnd_1bh-7_2019-02-14_13:57_,BH,BH
10,traces/rnd-1,rnd_1bh-9_2019-02-14_15:15_,BH,BH
11,traces/rnd-1,rnd_1gh-9_2019-02-16_10:36_,BH,GH
12,traces/rnd-1,rnd_normal_2019-02-14_13:37_,normal,normal
13,traces/rnd-1,rnd_1gh-7_2019-02-16_10:16_,BH,GH
14,traces/1gh-7,grid_1gh-7_2019-02-15_21:28_,BH,GH
15,traces/1gh-9,grid_1gh-9_2019-02-15_19:19_,BH,GH
16,traces/1gh-5,grid_1gh-5_2019-02-15_22:09_,BH,GH
17,traces/1gh-6,grid_1gh-6_2019-02-15_18:25_,BH,GH
18,traces/1bh-9,grid9_1bh-9_2019-02-13_19:35_,BH,BH
19,traces/1bh-9,grid9_1bh-9_2019-02-13_15:57_,BH,BH
20,traces/1bh-5,grid9_1bh-5_2019-02-13_21:44_,BH,BH
21,traces/1bh-5,grid9_1bh-5_2019-02-13_15:31_,BH,BH
22,traces/rnd-2,rnd2_1bh-3_2019-02-14_17:02_,BH,BH
23,traces/rnd-2,rnd2_1bh-6_2019-02-15_16:56_,BH,BH
24,traces/rnd-2,rnd2_normal_2019-02-14_16:07_,normal,normal
25,traces/rnd-2,rnd-2_1gh-3_2019-02-16_11:41_,BH,GH
26,traces/rnd-2,rnd2_1bh-8_2019-02-15_17:28_,BH,BH
27,traces/1gh-3,grid_1gh-3_2019-02-15_22:33_,BH,GH
28,traces/1bh-3,grid9_1bh-3_2019-02-13_16:28_,BH,BH
29,traces/1bh-3,grid9_1bh-3_2019-02-13_22:05_,BH,BH
