,case,normal_behaving_nodes_percentage,predicted,real,pings,window
0,grid9_1bh-6_2019-02-13_19:15_,61.111111111111114,abnormal,abnormal,100,25
1,grid9_1bh-6_2019-02-13_12:59_,75.0,abnormal,abnormal,100,25
2,grid9_normal_2019-02-13_18:51_,94.44444444444444,normal,normal,100,25
3,grid9_normal_2019-02-13_22:23_,100.0,normal,normal,100,25
4,grid9_normal_2019-02-13_17:05_,77.77777777777779,abnormal,normal,100,25
5,grid9_1bh-7_2019-02-13_20:02_,66.66666666666666,abnormal,abnormal,100,25
6,grid9_1bh-7_2019-02-13_15:08_,83.33333333333334,abnormal,abnormal,100,25
7,rnd_1gh-2_2019-02-16_08:37_,83.33333333333334,abnormal,abnormal,100,25
8,rnd_1bh-2_2019-02-14_15:38_,72.22222222222221,abnormal,abnormal,100,25
9,rnd_1bh-7_2019-02-14_13:57_,94.44444444444444,normal,abnormal,100,25
10,rnd_1bh-9_2019-02-14_15:15_,22.22222222222222,abnormal,abnormal,100,25
11,rnd_1gh-9_2019-02-16_10:36_,25.0,abnormal,abnormal,100,25
12,rnd_normal_2019-02-14_13:37_,80.55555555555556,abnormal,normal,100,25
13,rnd_1gh-7_2019-02-16_10:16_,91.66666666666666,normal,abnormal,100,25
14,grid_1gh-7_2019-02-15_21:28_,94.44444444444444,normal,abnormal,100,25
15,grid_1gh-9_2019-02-15_19:19_,61.111111111111114,abnormal,abnormal,100,25
16,grid_1gh-5_2019-02-15_22:09_,88.88888888888889,normal,abnormal,100,25
17,grid_1gh-6_2019-02-15_18:25_,88.88888888888889,normal,abnormal,100,25
18,grid9_1bh-9_2019-02-13_19:35_,69.44444444444444,abnormal,abnormal,100,25
19,grid9_1bh-9_2019-02-13_15:57_,88.88888888888889,normal,abnormal,100,25
20,grid9_1bh-5_2019-02-13_21:44_,77.77777777777779,abnormal,abnormal,100,25
21,grid9_1bh-5_2019-02-13_15:31_,91.66666666666666,normal,abnormal,100,25
22,rnd2_1bh-3_2019-02-14_17:02_,75.0,abnormal,abnormal,100,25
23,rnd2_1bh-6_2019-02-15_16:56_,61.111111111111114,abnormal,abnormal,100,25
24,rnd2_normal_2019-02-14_16:07_,88.88888888888889,normal,normal,100,25
25,rnd-2_1gh-3_2019-02-16_11:41_,75.0,abnormal,abnormal,100,25
26,rnd2_1bh-8_2019-02-15_17:28_,94.44444444444444,normal,abnormal,100,25
27,grid_1gh-3_2019-02-15_22:33_,22.22222222222222,abnormal,abnormal,100,25
28,grid9_1bh-3_2019-02-13_16:28_,11.11111111111111,abnormal,abnormal,100,25
29,grid9_1bh-3_2019-02-13_22:05_,11.11111111111111,abnormal,abnormal,100,25
30,grid9_1bh-6_2019-02-13_19:15_,55.55555555555556,abnormal,abnormal,100,50
31,grid9_1bh-6_2019-02-13_12:59_,83.33333333333334,abnormal,abnormal,100,50
32,grid9_normal_2019-02-13_18:51_,100.0,normal,normal,100,50
33,grid9_normal_2019-02-13_22:23_,100.0,normal,normal,100,50
34,grid9_normal_2019-02-13_17:05_,100.0,normal,normal,100,50
35,grid9_1bh-7_2019-02-13_20:02_,72.22222222222221,abnormal,abnormal,100,50
36,grid9_1bh-7_2019-02-13_15:08_,88.88888888888889,normal,abnormal,100,50
37,rnd_1gh-2_2019-02-16_08:37_,88.88888888888889,normal,abnormal,100,50
38,rnd_1bh-2_2019-02-14_15:38_,72.22222222222221,abnormal,abnormal,100,50
39,rnd_1bh-7_2019-02-14_13:57_,88.88888888888889,normal,abnormal,100,50
40,rnd_1bh-9_2019-02-14_15:15_,22.22222222222222,abnormal,abnormal,100,50
41,rnd_1gh-9_2019-02-16_10:36_,38.88888888888889,abnormal,abnormal,100,50
42,rnd_normal_2019-02-14_13:37_,77.77777777777779,abnormal,normal,100,50
43,rnd_1gh-7_2019-02-16_10:16_,88.88888888888889,normal,abnormal,100,50
44,grid_1gh-7_2019-02-15_21:28_,100.0,normal,abnormal,100,50
45,grid_1gh-9_2019-02-15_19:19_,66.66666666666666,abnormal,abnormal,100,50
46,grid_1gh-5_2019-02-15_22:09_,83.33333333333334,abnormal,abnormal,100,50
47,grid_1gh-6_2019-02-15_18:25_,94.44444444444444,normal,abnormal,100,50
48,grid9_1bh-9_2019-02-13_19:35_,77.77777777777779,abnormal,abnormal,100,50
49,grid9_1bh-9_2019-02-13_15:57_,88.88888888888889,normal,abnormal,100,50
50,grid9_1bh-5_2019-02-13_21:44_,72.22222222222221,abnormal,abnormal,100,50
51,grid9_1bh-5_2019-02-13_15:31_,94.44444444444444,normal,abnormal,100,50
52,rnd2_1bh-3_2019-02-14_17:02_,77.77777777777779,abnormal,abnormal,100,50
53,rnd2_1bh-6_2019-02-15_16:56_,72.22222222222221,abnormal,abnormal,100,50
54,rnd2_normal_2019-02-14_16:07_,88.88888888888889,normal,normal,100,50
55,rnd-2_1gh-3_2019-02-16_11:41_,66.66666666666666,abnormal,abnormal,100,50
56,rnd2_1bh-8_2019-02-15_17:28_,100.0,normal,abnormal,100,50
57,grid_1gh-3_2019-02-15_22:33_,27.77777777777778,abnormal,abnormal,100,50
58,grid9_1bh-3_2019-02-13_16:28_,11.11111111111111,abnormal,abnormal,100,50
59,grid9_1bh-3_2019-02-13_22:05_,11.11111111111111,abnormal,abnormal,100,50
60,grid9_1bh-6_2019-02-13_19:15_,66.66666666666666,abnormal,abnormal,100,100
61,grid9_1bh-6_2019-02-13_12:59_,88.88888888888889,normal,abnormal,100,100
62,grid9_normal_2019-02-13_18:51_,100.0,normal,normal,100,100
63,grid9_normal_2019-02-13_22:23_,100.0,normal,normal,100,100
64,grid9_normal_2019-02-13_17:05_,100.0,normal,normal,100,100
65,grid9_1bh-7_2019-02-13_20:02_,88.88888888888889,normal,abnormal,100,100
66,grid9_1bh-7_2019-02-13_15:08_,88.88888888888889,normal,abnormal,100,100
67,rnd_1gh-2_2019-02-16_08:37_,88.88888888888889,normal,abnormal,100,100
68,rnd_1bh-2_2019-02-14_15:38_,88.88888888888889,normal,abnormal,100,100
69,rnd_1bh-7_2019-02-14_13:57_,100.0,normal,abnormal,100,100
70,rnd_1bh-9_2019-02-14_15:15_,22.22222222222222,abnormal,abnormal,100,100
71,rnd_1gh-9_2019-02-16_10:36_,55.55555555555556,abnormal,abnormal,100,100
72,rnd_normal_2019-02-14_13:37_,100.0,normal,normal,100,100
73,rnd_1gh-7_2019-02-16_10:16_,100.0,normal,abnormal,100,100
74,grid_1gh-7_2019-02-15_21:28_,100.0,normal,abnormal,100,100
75,grid_1gh-9_2019-02-15_19:19_,77.77777777777779,abnormal,abnormal,100,100
76,grid_1gh-5_2019-02-15_22:09_,88.88888888888889,normal,abnormal,100,100
77,grid_1gh-6_2019-02-15_18:25_,100.0,normal,abnormal,100,100
78,grid9_1bh-9_2019-02-13_19:35_,88.88888888888889,normal,abnormal,100,100
79,grid9_1bh-9_2019-02-13_15:57_,100.0,normal,abnormal,100,100
80,grid9_1bh-5_2019-02-13_21:44_,100.0,normal,abnormal,100,100
81,grid9_1bh-5_2019-02-13_15:31_,100.0,normal,abnormal,100,100
82,rnd2_1bh-3_2019-02-14_17:02_,77.77777777777779,abnormal,abnormal,100,100
83,rnd2_1bh-6_2019-02-15_16:56_,88.88888888888889,normal,abnormal,100,100
84,rnd2_normal_2019-02-14_16:07_,100.0,normal,normal,100,100
85,rnd-2_1gh-3_2019-02-16_11:41_,77.77777777777779,abnormal,abnormal,100,100
86,rnd2_1bh-8_2019-02-15_17:28_,100.0,normal,abnormal,100,100
87,grid_1gh-3_2019-02-15_22:33_,33.33333333333333,abnormal,abnormal,100,100
88,grid9_1bh-3_2019-02-13_16:28_,11.11111111111111,abnormal,abnormal,100,100
89,grid9_1bh-3_2019-02-13_22:05_,11.11111111111111,abnormal,abnormal,100,100
