	case	predicted	real
0	grid9_1bh-3_2019-02-13_16:28_	11.11111111111111% normal	BH
1	grid9_1bh-3_2019-02-13_22:05_	11.11111111111111% normal	BH
2	grid9_1bh-5_2019-02-13_15:31_	94.44444444444444% normal	BH
3	grid9_1bh-5_2019-02-13_21:44_	86.11111111111111% normal	BH
4	grid9_1bh-6_2019-02-13_12:59_	86.11111111111111% normal	BH
5	grid9_1bh-6_2019-02-13_19:15_	61.111111111111114% normal	BH
6	grid9_1bh-7_2019-02-13_15:08_	83.33333333333334% normal	BH
7	grid9_1bh-7_2019-02-13_20:02_	72.22222222222221% normal	BH
8	grid9_1bh-9_2019-02-13_15:57_	91.66666666666666% normal	BH
9	grid9_1bh-9_2019-02-13_19:35_	75.0% normal	BH
10	grid9_normal_2019-02-13_17:05_	80.55555555555556% normal	normal
11	grid9_normal_2019-02-13_18:51_	97.22222222222221% normal	normal
12	grid9_normal_2019-02-13_22:23_	100.0% normal	normal
